name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Alphainfluenzavirus influenzae A/Vietnam/1203/2004(H5N1)-PR8 SJRG-161052,2,,,,,,,
Alphainfluenzavirus influenzae A/gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A,2,,,,,,,
Alphainfluenzavirus influenzae A/pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4,2,,,,,,,
Alphainfluenzavirus influenzae H10N8,3,,,,,,,
Alphainfluenzavirus influenzae H11N2,2,,,,,,,
Alphainfluenzavirus influenzae H11N6,2,,,,,,,
Alphainfluenzavirus influenzae H12N5,2,,,,,,,
Alphainfluenzavirus influenzae H13N6,2,,,,,,,
Alphainfluenzavirus influenzae H14N5,2,,,,,,,
Alphainfluenzavirus influenzae H15N9,2,,,,,,,
Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,4,,,,,,,
Alphainfluenzavirus influenzae H1N9,2,,,,,,,
Alphainfluenzavirus influenzae H2N2,3,,,,,,,
Alphainfluenzavirus influenzae H2N3,3,,,,,,,
Alphainfluenzavirus influenzae H2N5,3,,,,,,,
Alphainfluenzavirus influenzae H3N2,2,,,,,,,
Alphainfluenzavirus influenzae H3N6,2,,,,,,,
Alphainfluenzavirus influenzae H3N8 (avian and zoonotic),3,,,,,,,
Alphainfluenzavirus influenzae H3N8 (canine),2,,,,,,,
Alphainfluenzavirus influenzae H3N8 (equine),2,,,,,,,
Alphainfluenzavirus influenzae H3N9,2,,,,,,,
Alphainfluenzavirus influenzae H4N3,2,,,,,,,
Alphainfluenzavirus influenzae H4N6,2,,,,,,,
Alphainfluenzavirus influenzae H5N1,3,,,,,,,
Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,4,,,,,,,
Alphainfluenzavirus influenzae H5N2,3,,,,,,,
Alphainfluenzavirus influenzae H5N3,3,,,,,,,
Alphainfluenzavirus influenzae H5N5,3,,,,,,,
Alphainfluenzavirus influenzae H5N6,3,,,,,,,
Alphainfluenzavirus influenzae H5N9,3,,,,,,,
Alphainfluenzavirus influenzae H6N1,2,,,,,,,
Alphainfluenzavirus influenzae H6N4,2,,,,,,,
Alphainfluenzavirus influenzae H6N5,2,,,,,,,
Alphainfluenzavirus influenzae H7N3,2,,,,,,,
Alphainfluenzavirus influenzae H7N7,2,,,,,,,
Alphainfluenzavirus influenzae H7N8,3,,,,,,,
Alphainfluenzavirus influenzae H7N9,3,,,,,,,
Alphainfluenzavirus influenzae H8N4,2,,,,,,,
Alphainfluenzavirus influenzae H9N2,2,,,,,,,
Alphainfluenzavirus influenzae cH6/1N5,2,,,,,,,
Alphanodavirus nodamuraense,2,,,,,,,
Alphapapillomavirus 1-14,2,,,,,,,
Alphapolyomavirus nonihominis,2,,,,,,,
Alphapolyomavirus octihominis,2,,,,,,,
Alphapolyomavirus quintihominis,2,,,,,,,
Alpharetrovirus avileu,1,,,,,,,
Alpharetrovirus avimyebla,1,,,,,,,
Alpharetrovirus avimyecyt29,1,,,,,,,
Alpharetrovirus avirousar,2,,,,,,,
Alpharetrovirus avisar10,2,,,,,,,
Alphavirus aura,3,,,,,,,
Alphavirus barmah,2,,,,,,,
Alphavirus bebaru,2,,,,,,,
Alphavirus cabassou,3,,,,,,,
Alphavirus chikungunya,3,,,,,,,
Alphavirus chikungunya 181/clone 25,2,,,,,,,
Alphavirus eastern,3,,,,,,,
Alphavirus everglades,3,,,,,,,
Alphavirus fortmorgan,2,,,,,,,
Alphavirus getah,2,,,,,,,
Alphavirus highlandsj,2,,,,,,,
Alphavirus mayaro,2,,,,,,,
Alphavirus mucambo,3,,,,,,,
Alphavirus ndumu,3,,,,,,,
Alphavirus onyong,2,,,,,,,
Alphavirus pixuna,3,,,,,,,
Alphavirus rossriver,2,,,,,,,
Alphavirus salmon,1,,,,,,,
Alphavirus semliki,2,,,,,,,
Alphavirus sindbis,2,,,,,,,
Alphavirus una,2,,,,,,,
Alphavirus venezuelan,3,,,,,,,
Alphavirus venezuelan TC-83,2,,,,,,,
Alphavirus western,3,,,,,,,
Alphavirus whataroa,2,,,,,,,
Alphaviruses,3,,,,,,,
Alternaria alternata,2,,,,,,,
Alternaria botrytis,1,,,,,,,
Alternaria brassicae,1,,,,,,,
Alternaria brassicicola,1,,,,,,,
Alternaria chartarum,1,,,,,,,
Alternaria dauci,1,,,,,,,
Alternaria scorzonerae,1,,,,,,,
Alternaria solani,1,,,,,,,
Alterococcus agarolyticus,1,,,,,,,
Alteromonas macleodii,1,,,,,,,
Alteromonas nigrifaciens,1,,,,,,,
Alysiella crassa,1,,,,,,,
Alysiella filiformis,1,,,,,,,
Amapari virus,2,,,,,,,
Amaricoccus kaplicensis,1,,,,,,,
Amaricoccus macauensis,1,,,,,,,
Amaricoccus tamworthensis,1,,,,,,,
Amaricoccus veronensis,1,,,,,,,
Amdoparvovirus carnivoran1,1,,,,,,,
Amedibacillus dolichus,1,,,,,,,
Aminobacter aganoensis,1,,,,,,,
Aminobacter aminovorans,1,,,,,,,
Aminobacter carboxidus,1,,,,,,,
Aminobacter niigataensis,1,,,,,,,
Ammonifex degensii,1,,,,,,,
Ammoniphilus oxalaticus,1,,,,,,,
Ammoniphilus oxalivorans,1,,,,,,,
Amoeba proteus,1,,,,,,,
Amphibacillus sediminis,1,,,,,,,
Amphibacillus tropicus,1,,,,,,,
Amphibacillus xylanus,1,,,,,,,
